pooling,split,balanced_families,trait,metric,mean,std,ci95,lo,hi,n
mean,species,False,country,acc,0.03480653961499532,0.0016168847717758245,0.0040168886169782295,0.030789650998017094,0.03882342823197355,3
mean,species,False,cultivation_medium,f1,0.4343342184046796,0.0033398638961604997,0.008297351487829917,0.4260368669168497,0.4426315698925095,3
mean,species,False,cytochrome_oxidase,acc,0.8286340832710266,0.0007178192690815894,0.0017833058368498524,0.8268507774341768,0.8304173891078764,3
mean,species,False,fatty_acid_profile,rmse,0.08560867781239843,0.0013101358591583495,0.0032548205730011156,0.08235385723939732,0.08886349838539954,3
mean,species,False,gram_stain,acc,0.9257108171780905,0.002933908819358921,0.0072888217796690715,0.9184219953984214,0.9329996389577595,3
mean,species,False,halophily,acc,0.5311012665430704,0.007852185075743928,0.01950748340249395,0.5115937831405765,0.5506087499455644,3
mean,species,False,isolation_source,acc,0.3738055129845937,0.028832644140876332,0.0716300394861582,0.3021754734984355,0.4454355524707519,3
mean,species,False,metabolite_production,f1,0.16252110657079258,0.0015166161889182065,0.003767787545490653,0.15875331902530193,0.16628889411628323,3
mean,species,False,motility,acc,0.7557973861694336,0.0022438838662212817,0.005574566423892975,0.7502228197455406,0.7613719525933266,3
mean,species,False,oxygen_tolerance,acc,0.6992140014966329,0.00946576273686851,0.023516156038122148,0.6756978454585107,0.7227301575347551,3
mean,species,False,pathogenicity_animal,acc,0.8455336292584738,0.002257981562296993,0.005609589868903189,0.8399240393895706,0.8511432191273769,3
mean,species,False,pathogenicity_human,acc,0.8030499815940857,0.0,0.0,0.8030499815940857,0.8030499815940857,3
mean,species,False,ph_class,acc,0.6021133462587992,0.004248483802292198,0.010554670637475713,0.5915586756213235,0.6126680168962749,3
mean,species,False,pigmentation,acc,0.7158376375834147,0.0004951651706319764,0.0012301577528317771,0.7146074798305829,0.7170677953362464,3
mean,species,False,sporulation,acc,0.9428141713142395,0.0007524490356445312,0.0018693378890674737,0.940944833425172,0.944683509203307,3
mean,species,False,temperature_class,acc,0.8081286748250326,0.0015879108783735322,0.003944907666555039,0.8041837671584775,0.8120735824915877,3
set_transformer,family,False,amr_phenotype,f1,0.37862764555832434,0.002070181324605613,0.018599541547530088,0.36002810401079427,0.3972271871058544,2
set_transformer,family,False,biosafety_level,acc,0.8063559234142303,0.019775006293371904,0.17766851955652235,0.6286874038577079,0.9840244429707528,2
set_transformer,family,False,carbon_utilization,f1,0.5068459432633197,0.003726769197182856,0.033483153237440784,0.4733627900258789,0.5403290965007604,2
set_transformer,family,False,catalase,acc,0.8690972328186035,0.016204536021771517,0.14558963382244108,0.7235075989961625,1.0146868666410447,2
set_transformer,family,False,cell_shape,acc,0.46742957830429077,0.006224541616028407,0.05592438644170761,0.41150519186258316,0.5233539647459984,2
set_transformer,family,False,country,acc,0.017182715237140656,0.002646537595256697,0.023777813747525214,-0.006595098510384558,0.04096052898466587,2
set_transformer,family,False,cultivation_medium,f1,0.3258023783002148,0.01396220516077194,0.12544341497834252,0.20035896332187228,0.4512457932785573,2
set_transformer,family,False,cytochrome_oxidase,acc,0.8381481468677521,0.0005237588864448801,0.004705711066722869,0.8334424358010292,0.842853857934475,2
set_transformer,family,False,fatty_acid_profile,rmse,0.1194423717244397,0.009937082244159887,0.08927970311812473,0.03016266860631496,0.20872207484256444,2
set_transformer,family,False,gram_stain,acc,0.9226125180721283,0.0038809239577316332,0.034868156492710106,0.8877443615794182,0.9574806745648384,2
